afile	alang	astatus	sentlength	ppron	possdet	indef	cconj	whconj	relativ	pied	correl	copula	attrib	pasttense	lexdens	lexTTR	mquantif	mpred	finites	infs	pverbals	deverbals	bypassives	longpassives	sconj	addit	advers	caus	tempseq	epist	but	comp	sup	neg	numcls	simple	demdets	nnargs	mhd	mdd	acl	aux	aux:pass	ccomp	nsubj:pass	parataxis	xcomp
RU_1_244_35	ru	bad	19.45	0.033419023136246784	0.007712082262210797	0.002570694087403599	0.4	0.1	0.25	0.05	0.3	0.05	1.35	0.5	0.4267352185089974	0.9880952380952381	0.007712082262210797	0.3	0.6862745098039216	0.0784313725490196	0.058823529411764705	0.0784313725490196	0.05	0.1	0.7	0.0	0.0	0.1	0.0	0.05	0.1	0.02040816326530612	0.0	0.2	1.5	0.2	0.03598971722365039	0.5	3.8144598293863	1.1600554547576605	0.08678571428571429	0.0	0.03380952380952381	0.12666666666666665	0.026666666666666665	0.2113095238095238	0.12214285714285714
RU_1_150_2	ru	bad	26.285714285714285	0.024456521739130436	0.016304347826086956	0.002717391304347826	0.9285714285714286	0.0	0.42857142857142855	0.2857142857142857	0.14285714285714285	0.0	3.0	0.5714285714285714	0.5054347826086957	0.9841269841269841	0.008152173913043478	0.14285714285714285	0.6571428571428571	0.02857142857142857	0.14285714285714285	0.37142857142857144	0.0	0.21428571428571427	0.5714285714285714	0.07142857142857142	0.14285714285714285	0.0	0.35714285714285715	0.07142857142857142	0.0	0.0273972602739726	0.0273972602739726	0.14285714285714285	1.6428571428571428	0.21428571428571427	0.008152173913043478	0.675	4.207605354597836	1.3780075921053363	0.17517006802721086	0.0	0.0	0.03571428571428571	0.14285714285714285	0.2346938775510204	0.023809523809523808
RU_1_244_1	ru	bad	23.523809523809526	0.032388663967611336	0.008097165991902834	0.0020242914979757085	0.5238095238095238	0.047619047619047616	0.7142857142857143	0.09523809523809523	0.47619047619047616	0.047619047619047616	1.9047619047619047	0.5714285714285714	0.4898785425101215	0.9758064516129032	0.004048582995951417	0.2857142857142857	0.7058823529411765	0.014705882352941176	0.14705882352941177	0.20588235294117646	0.0	0.14285714285714285	0.6190476190476191	0.047619047619047616	0.047619047619047616	0.0	0.0	0.047619047619047616	0.047619047619047616	0.0	0.029850746268656716	0.14285714285714285	2.0952380952380953	0.14285714285714285	0.022267206477732792	0.5774647887323944	3.874447160584979	1.2152174426745124	0.20595238095238097	0.0	0.0	0.10912698412698411	0.021825396825396824	0.24682539682539684	0.10714285714285714
RU_1_274_41	ru	bad	24.75	0.027777777777777776	0.0025252525252525255	0.0	0.75	0.0625	0.1875	0.0625	0.0625	0.0625	1.5625	1.4375	0.45202020202020204	1.0	0.005050505050505051	0.375	0.5681818181818182	0.18181818181818182	0.06818181818181818	0.29545454545454547	0.0	0.0625	0.5625	0.0	0.125	0.0	0.0	0.0	0.125	0.07142857142857142	0.0	0.375	1.9375	0.125	0.007575757575757576	0.6521739130434783	4.178524290252231	1.074979635312116	0.09895833333333333	0.05208333333333333	0.015625	0.020833333333333332	0.015625	0.21354166666666666	0.19791666666666666
RU_1_169_5	ru	bad	21.473684210526315	0.007352941176470588	0.0	0.0	0.8421052631578947	0.0	0.3157894736842105	0.10526315789473684	0.15789473684210525	0.21052631578947367	1.631578947368421	0.6842105263157895	0.4950980392156863	0.9758454106280193	0.004901960784313725	0.21052631578947367	0.8157894736842105	0.02631578947368421	0.10526315789473684	0.2631578947368421	0.0	0.10526315789473684	0.631578947368421	0.10526315789473684	0.05263157894736842	0.0	0.0	0.21052631578947367	0.10526315789473684	0.08064516129032258	0.03225806451612903	0.2631578947368421	1.368421052631579	0.21052631578947367	0.01715686274509804	0.6458333333333334	3.750713478557906	1.0671577089920745	0.06892230576441102	0.007518796992481203	0.017543859649122806	0.08771929824561403	0.017543859649122806	0.21679197994987467	0.08771929824561403
RU_1_244_26	ru	bad	23.2	0.032327586206896554	0.010775862068965518	0.0021551724137931034	0.6	0.1	0.35	0.1	0.15	0.05	1.9	0.8	0.5021551724137931	0.9708333333333333	0.0021551724137931034	0.25	0.6923076923076923	0.03076923076923077	0.15384615384615385	0.2	0.05	0.15	0.75	0.1	0.0	0.05	0.0	0.0	0.1	0.03278688524590164	0.0	0.15	1.95	0.1	0.01939655172413793	0.5344827586206896	4.1022714728480505	1.1930222414706773	0.1733333333333333	0.008333333333333333	0.016666666666666666	0.095	0.11666666666666665	0.12666666666666665	0.08833333333333333
RU_1_274_37	ru	bad	30.285714285714285	0.018867924528301886	0.01650943396226415	0.0023584905660377358	1.2142857142857142	0.14285714285714285	0.35714285714285715	0.0	0.14285714285714285	0.07142857142857142	1.7857142857142858	1.6428571428571428	0.39858490566037735	1.0	0.0023584905660377358	0.5714285714285714	0.6222222222222222	0.13333333333333333	0.06666666666666667	0.15555555555555556	0.0	0.14285714285714285	0.8571428571428571	0.0	0.14285714285714285	0.21428571428571427	0.07142857142857142	0.07142857142857142	0.14285714285714285	0.02702702702702703	0.0	0.5	2.142857142857143	0.07142857142857142	0.0047169811320754715	0.7045454545454546	4.280599554135603	1.4715688452197626	0.13095238095238096	0.023809523809523808	0.02976190476190476	0.07738095238095237	0.02976190476190476	0.10714285714285714	0.21428571428571427
RU_1_244_15	ru	bad	20.476190476190474	0.03488372093023256	0.002325581395348837	0.002325581395348837	0.3333333333333333	0.047619047619047616	0.23809523809523808	0.047619047619047616	0.14285714285714285	0.14285714285714285	2.0476190476190474	0.8095238095238095	0.513953488372093	0.9910313901345291	0.009302325581395349	0.23809523809523808	0.6666666666666666	0.06666666666666667	0.11666666666666667	0.2	0.0	0.23809523809523808	0.8571428571428571	0.09523809523809523	0.0	0.047619047619047616	0.0	0.14285714285714285	0.09523809523809523	0.016666666666666666	0.016666666666666666	0.14285714285714285	1.6666666666666667	0.14285714285714285	0.018604651162790697	0.6	3.6606569733460494	1.0692081914770992	0.11976911976911978	0.011904761904761904	0.032106782106782104	0.1214698000412286	0.04365079365079364	0.21634714491857346	0.07575757575757576
RU_1_101_8	ru	bad	18.694444444444443	0.020802377414561663	0.010401188707280832	0.0014858841010401188	0.5555555555555556	0.0	0.16666666666666666	0.05555555555555555	0.08333333333333333	0.1111111111111111	1.25	1.1111111111111112	0.46953937592867756	0.9937106918238994	0.010401188707280832	0.1388888888888889	0.6626506024096386	0.0963855421686747	0.1686746987951807	0.20481927710843373	0.0	0.19444444444444445	0.4444444444444444	0.0	0.05555555555555555	0.05555555555555555	0.0	0.027777777777777776	0.027777777777777776	0.04	0.0	0.3055555555555556	0.8918918918918919	0.4594594594594595	0.019316493313521546	0.6987951807228916	3.5484506177542374	1.1286317111309536	0.09774774774774773	0.05135135135135135	0.02882882882882883	0.02927927927927928	0.0490990990990991	0.06621621621621622	0.07387387387387387
RU_1_335_3	ru	bad	24.58823529411765	0.023923444976076555	0.014354066985645933	0.0	0.4117647058823529	0.058823529411764705	0.47058823529411764	0.058823529411764705	0.11764705882352941	0.058823529411764705	2.176470588235294	1.7058823529411764	0.44019138755980863	0.9787234042553191	0.007177033492822967	0.058823529411764705	0.7692307692307693	0.05128205128205128	0.1282051282051282	0.2564102564102564	0.0	0.17647058823529413	0.5294117647058824	0.11764705882352941	0.058823529411764705	0.0	0.11764705882352941	0.0	0.058823529411764705	0.03076923076923077	0.0	0.11764705882352941	1.8235294117647058	0.29411764705882354	0.023923444976076555	0.6222222222222222	3.7615701827616346	1.1423004797886829	0.10294117647058822	0.0	0.04411764705882353	0.029411764705882353	0.07352941176470588	0.1754901960784314	0.1431372549019608
