afile	alang	astatus	sentlength	ppron	possdet	indef	cconj	whconj	relativ	pied	correl	copula	attrib	pasttense	lexdens	lexTTR	mquantif	mpred	finites	infs	pverbals	deverbals	passives	sconj	addit	advers	caus	tempseq	epist	but	comp	sup	neg	numcls	simple	demdets	nnargs	mhd	mdd	acl	aux	aux:pass	ccomp	nsubj:pass	parataxis	xcomp
RU_1_244_35	ru	bad	19.35	0.03359173126614987	0.007751937984496124	0.002583979328165375	0.4	0.1	0.25	0.05	0.35	0.05	1.45	0.4	0.4392764857881137	0.9883720930232558	0.007751937984496124	0.3	0.7142857142857143	0.08163265306122448	0.061224489795918366	0.08163265306122448	0.15	0.7	0.0	0.0	0.1	0.0	0.05	0.1	0.018867924528301886	0.0	0.2	1.5	0.2	0.03617571059431524	0.543859649122807	3.8466893674136315	1.1881635949834481	0.11666666666666665	0.0	0.04583333333333333	0.29166666666666663	0.0	0.18333333333333335	0.1625
RU_1_271_4	ru	bad	27.42105263157895	0.03838771593090211	0.007677543186180422	0.0	0.7894736842105263	0.10526315789473684	0.6842105263157895	0.05263157894736842	0.15789473684210525	0.10526315789473684	2.3157894736842106	0.8947368421052632	0.43570057581573896	0.9578059071729957	0.005758157389635317	0.42105263157894735	0.676923076923077	0.09230769230769231	0.09230769230769231	0.09230769230769231	0.15789473684210525	0.3157894736842105	0.05263157894736842	0.0	0.0	0.15789473684210525	0.10526315789473684	0.15789473684210525	0.014285714285714285	0.0	0.15789473684210525	2.263157894736842	0.15789473684210525	0.01727447216890595	0.5714285714285714	4.322974286627414	1.2801584336546183	0.2236842105263158	0.0	0.05263157894736842	0.02631578947368421	0.010526315789473684	0.3017543859649122	0.22719298245614034
RU_1_150_2	ru	bad	26.285714285714285	0.035326086956521736	0.005434782608695652	0.002717391304347826	0.9285714285714286	0.0	0.42857142857142855	0.2857142857142857	0.14285714285714285	0.0	3.2142857142857144	0.5714285714285714	0.5163043478260869	0.9693877551020408	0.008152173913043478	0.14285714285714285	0.6764705882352942	0.029411764705882353	0.14705882352941177	0.38235294117647056	0.21428571428571427	0.5	0.07142857142857142	0.14285714285714285	0.0	0.35714285714285715	0.07142857142857142	0.0	0.025	0.025	0.14285714285714285	1.6428571428571428	0.21428571428571427	0.008152173913043478	0.675	4.312065231426134	1.3072889680032538	0.2380952380952381	0.0	0.0	0.07142857142857142	0.17857142857142858	0.2261904761904762	0.07142857142857142
RU_1_244_1	ru	bad	24.85	0.03621730382293763	0.004024144869215292	0.002012072434607646	0.55	0.05	0.7	0.1	0.5	0.05	1.9	0.65	0.4909456740442656	0.976	0.004024144869215292	0.3	0.6956521739130435	0.014492753623188406	0.18840579710144928	0.2028985507246377	0.15	0.7	0.05	0.05	0.0	0.0	0.05	0.05	0.0	0.029411764705882353	0.15	2.2	0.05	0.02012072434607646	0.6	4.163934157014721	1.3840418278794238	0.3410714285714286	0.0	0.0	0.1738095238095238	0.03214285714285714	0.19464285714285715	0.10833333333333332
RU_1_274_41	ru	bad	24.6875	0.027848101265822784	0.002531645569620253	0.0	0.75	0.0625	0.1875	0.0625	0.0625	0.0625	1.9375	1.4375	0.45569620253164556	1.0	0.005063291139240506	0.375	0.5681818181818182	0.18181818181818182	0.06818181818181818	0.2727272727272727	0.0625	0.5625	0.0	0.125	0.0	0.0	0.0	0.125	0.0625	0.0	0.375	1.875	0.125	0.007594936708860759	0.6666666666666666	4.06802433269345	1.1667055443845724	0.11458333333333333	0.05208333333333333	0.020833333333333332	0.03125	0.0	0.23958333333333331	0.29166666666666663
RU_1_169_5	ru	bad	21.42105263157895	0.007371007371007371	0.0	0.0	0.8421052631578947	0.0	0.3157894736842105	0.10526315789473684	0.15789473684210525	0.15789473684210525	1.9473684210526316	0.6842105263157895	0.5110565110565111	0.9765258215962441	0.004914004914004914	0.21052631578947367	0.8157894736842105	0.02631578947368421	0.07894736842105263	0.2631578947368421	0.15789473684210525	0.631578947368421	0.10526315789473684	0.05263157894736842	0.0	0.0	0.21052631578947367	0.10526315789473684	0.07246376811594203	0.028985507246376812	0.2631578947368421	1.105263157894737	0.3157894736842105	0.0171990171990172	0.6530612244897959	3.8684154618171647	1.1389690181679344	0.11403508771929824	0.017543859649122806	0.05263157894736842	0.15789473684210525	0.017543859649122806	0.14912280701754385	0.07017543859649122
RU_1_244_26	ru	bad	23.2	0.032327586206896554	0.010775862068965518	0.0021551724137931034	0.6	0.1	0.35	0.1	0.15	0.05	1.9	0.9	0.4978448275862069	0.9585062240663901	0.0021551724137931034	0.25	0.6716417910447762	0.029850746268656716	0.1791044776119403	0.1791044776119403	0.15	0.75	0.1	0.0	0.05	0.0	0.0	0.1	0.031746031746031744	0.015873015873015872	0.15	2.05	0.1	0.015086206896551725	0.55	3.9384389306492955	1.3558680633905977	0.2508333333333333	0.0125	0.025	0.20166666666666666	0.016666666666666666	0.185	0.10833333333333332
RU_1_274_37	ru	bad	30.071428571428573	0.026128266033254157	0.009501187648456057	0.0023752969121140144	1.2142857142857142	0.14285714285714285	0.35714285714285715	0.0	0.14285714285714285	0.07142857142857142	2.142857142857143	1.6428571428571428	0.4014251781472684	0.9883040935672515	0.0023752969121140144	0.5714285714285714	0.6304347826086957	0.13043478260869565	0.043478260869565216	0.13043478260869565	0.14285714285714285	0.8571428571428571	0.0	0.14285714285714285	0.21428571428571427	0.07142857142857142	0.07142857142857142	0.14285714285714285	0.023255813953488372	0.0	0.5	1.8571428571428572	0.07142857142857142	0.004750593824228029	0.6888888888888889	4.285913595722397	1.4018116989954077	0.16071428571428573	0.023809523809523808	0.10714285714285714	0.16071428571428573	0.0	0.08928571428571429	0.24404761904761904
RU_1_126_3	ru	bad	20.0	0.02	0.0033333333333333335	0.0	0.6	0.13333333333333333	0.0	0.0	0.0	0.06666666666666667	2.2666666666666666	0.4	0.53	0.9814814814814815	0.0033333333333333335	0.4	0.6785714285714286	0.0	0.03571428571428571	0.39285714285714285	0.13333333333333333	0.4666666666666667	0.0	0.06666666666666667	0.06666666666666667	0.06666666666666667	0.2	0.13333333333333333	0.0	0.0	0.4666666666666667	1.6	0.3333333333333333	0.013333333333333334	0.71875	3.474791896556602	1.2612123334182157	0.15555555555555556	0.0	0.0	0.03333333333333333	0.02222222222222222	0.21111111111111114	0.17777777777777776
RU_1_244_15	ru	bad	20.476190476190474	0.03488372093023256	0.002325581395348837	0.002325581395348837	0.3333333333333333	0.047619047619047616	0.23809523809523808	0.047619047619047616	0.09523809523809523	0.14285714285714285	2.0952380952380953	0.7619047619047619	0.5116279069767442	0.990990990990991	0.009302325581395349	0.23809523809523808	0.6779661016949152	0.06779661016949153	0.11864406779661017	0.2033898305084746	0.19047619047619047	0.8571428571428571	0.09523809523809523	0.0	0.047619047619047616	0.0	0.14285714285714285	0.09523809523809523	0.015873015873015872	0.015873015873015872	0.14285714285714285	1.619047619047619	0.14285714285714285	0.01627906976744186	0.6	3.7236236180773994	1.1151024607117042	0.21825396825396823	0.015873015873015872	0.047619047619047616	0.246031746031746	0.023809523809523808	0.16666666666666666	0.09126984126984126
