afile	alang	akorp	astatus	sentlength	ppron	possdet	indef	cconj	whconj	relativ	pied	correl	copula	attrib	pasttense	lexdens	lexTTR	mquantif	mpred	finites	infs	pverbals	deverbals	bypassives	longpassives	sconj	addit	advers	caus	tempseq	epist	but	comp	sup	neg	numcls	simple	demdets	nnargs	mhd	mdd	acl	aux	aux:pass	ccomp	nsubj:pass	parataxis	xcomp
GO_FICTION_002	de	croco	ref	16.678571428571427	0.09609207708779444	0.017665952890792293	0.0010706638115631692	0.5089285714285714	0.017857142857142856	0.12053571428571429	0.022321428571428572	0.0	0.17410714285714285	0.45982142857142855	0.38839285714285715	0.37687366167023556	0.9743944636678201	0.01873661670235546	0.29017857142857145	0.8807531380753139	0.06903765690376569	0.008368200836820083	0.03138075313807531	0.0	0.03125	0.27232142857142855	0.07589285714285714	0.06696428571428571	0.09821428571428571	0.12946428571428573	0.08035714285714286	0.08035714285714286	0.03171247357293869	0.008456659619450317	0.33482142857142855	0.5625	0.6383928571428571	0.004817987152034261	0.3392568659127625	2.72755713277799	1.4859012902565893	0.06174918831168831	0.1621832160894661	0.022123015873015874	0.045200892857142856	0.02064393939393939	0.02659970238095238	0.07546390241702741
GO_FICTION_003	de	croco	ref	54.279411764705884	0.072879978325657	0.01679761582227039	0.001896505012191818	1.8823529411764706	0.058823529411764705	1.1323529411764706	0.25	0.07352941176470588	0.7794117647058824	2.1029411764705883	1.8970588235294117	0.3784882145759957	0.9588194921070693	0.020861555134109998	0.6323529411764706	0.8768115942028986	0.08695652173913043	0.012077294685990338	0.06038647342995169	0.0	0.17647058823529413	1.3235294117647058	0.2647058823529412	0.3235294117647059	0.23529411764705882	0.6323529411764706	0.3382352941176471	0.19117647058823528	0.04604051565377532	0.01289134438305709	0.6176470588235294	2.8088235294117645	0.14705882352941177	0.003793010024383636	0.2946768060836502	3.811695824035244	2.6863503706322134	0.1912041612291725	0.2515738544924644	0.026542649592521714	0.08545001262298539	0.02597556230774224	0.03192487549810402	0.07114756158873807
GO_TOU_022	de	croco	ref	22.40909090909091	0.006490872210953347	0.00486815415821501	0.00040567951318458417	1.0818181818181818	0.05454545454545454	0.18181818181818182	0.05454545454545454	0.00909090909090909	0.2	1.5545454545454545	0.03636363636363636	0.40892494929006085	0.9892051030421982	0.004462474645030426	0.1	0.8294117647058824	0.041176470588235294	0.0058823529411764705	0.058823529411764705	0.0	0.06363636363636363	0.03636363636363636	0.16363636363636364	0.03636363636363636	0.02727272727272727	0.045454545454545456	0.01818181818181818	0.00909090909090909	0.04984423676012461	0.037383177570093455	0.07272727272727272	0.4594594594594595	0.6306306306306306	0.005273833671399594	0.6201923076923077	3.255092701173588	1.929613161234877	0.2123123123123123	0.09669669669669669	0.05405405405405406	0.003003003003003003	0.025525525525525523	0.0	0.028828828828828826
GO_ESSAY_006	de	croco	ref	25.044776119402986	0.014898688915375448	0.0029797377830750892	0.0005959475566150178	0.8656716417910447	0.014925373134328358	0.417910447761194	0.04477611940298507	0.014925373134328358	0.2537313432835821	1.1940298507462686	0.208955223880597	0.4463647199046484	0.9881266490765171	0.021454112038140644	0.3880597014925373	0.8253012048192772	0.0963855421686747	0.012048192771084338	0.13253012048192772	0.0	0.13432835820895522	0.3283582089552239	0.2835820895522388	0.13432835820895522	0.16417910447761194	0.2835820895522388	0.1044776119402985	0.08955223880597014	0.0429042904290429	0.0033003300330033004	0.3283582089552239	0.9565217391304348	0.4057971014492754	0.004171632896305125	0.5869565217391305	3.2045657304100335	2.022831290172183	0.16076604554865423	0.2082470669427191	0.05303657694962043	0.027915804002760523	0.03650793650793651	0.053743961352657	0.025241545893719807
GO_SHARE_010	de	croco	ref	18.428571428571427	0.03386372909016728	0.025703794369645042	0.0	0.631578947368421	0.0	0.14285714285714285	0.007518796992481203	0.0	0.20300751879699247	1.2406015037593985	0.06766917293233082	0.43166054671562626	0.9878618113912232	0.006527947776417789	0.17293233082706766	0.8047619047619048	0.06190476190476191	0.02857142857142857	0.35714285714285715	0.007518796992481203	0.06766917293233082	0.06015037593984962	0.15789473684210525	0.06015037593984962	0.022556390977443608	0.05263157894736842	0.022556390977443608	0.007518796992481203	0.052307692307692305	0.021538461538461538	0.022556390977443608	0.24444444444444444	0.7777777777777778	0.012239902080783354	0.5399239543726235	2.9894254807960845	1.9824238506996812	0.08641975308641973	0.33790123456790117	0.06975308641975309	0.008641975308641974	0.04037037037037036	0.007407407407407408	0.03888888888888889
GO_ESSAY_012	de	croco	ref	18.73076923076923	0.014373716632443531	0.004106776180698152	0.0	0.8076923076923077	0.0	0.0	0.0	0.0	0.23076923076923078	1.6153846153846154	0.07692307692307693	0.44353182751540043	0.9863013698630136	0.01026694045174538	0.46153846153846156	0.725	0.2	0.025	0.55	0.0	0.15384615384615385	0.11538461538461539	0.15384615384615385	0.07692307692307693	0.07692307692307693	0.0	0.038461538461538464	0.0	0.08571428571428572	0.0	0.15384615384615385	0.3076923076923077	0.6923076923076923	0.01642710472279261	0.7659574468085106	3.1566907866699876	2.0195610691915973	0.019230769230769232	0.18653846153846151	0.10705128205128205	0.01730769230769231	0.03974358974358974	0.0	0.057692307692307696
GO_ESSAY_014	de	croco	ref	24.753424657534246	0.010514665190924184	0.008301051466519093	0.0	0.6301369863013698	0.0136986301369863	0.136986301369863	0.0410958904109589	0.0	0.2328767123287671	1.5753424657534247	0.1643835616438356	0.46928610957387934	0.991812865497076	0.014941892639734366	0.273972602739726	0.7650602409638554	0.13253012048192772	0.0	0.25301204819277107	0.0	0.1095890410958904	0.3287671232876712	0.1780821917808219	0.1917808219178082	0.1917808219178082	0.2876712328767123	0.0273972602739726	0.0410958904109589	0.051194539249146756	0.0034129692832764505	0.2191780821917808	0.7702702702702703	0.5	0.012728278915329275	0.7704081632653061	3.4361674909828133	2.03194637352349	0.11663820413820414	0.1309981684981685	0.031573606573606576	0.03406717156717157	0.024903474903474904	0.02774477774477774	0.05371992871992872
GO_TOU_003	de	croco	ref	23.34285714285714	0.0073439412484700125	0.01040391676866585	0.0	0.9	0.014285714285714285	0.11428571428571428	0.02857142857142857	0.0	0.21428571428571427	2.0714285714285716	0.14285714285714285	0.40636474908200737	0.9940119760479041	0.004283965728274173	0.0	0.8469387755102041	0.07142857142857142	0.02040816326530612	0.25510204081632654	0.02857142857142857	0.08571428571428572	0.02857142857142857	0.07142857142857142	0.0	0.0	0.07142857142857142	0.0	0.0	0.024875621890547265	0.03980099502487562	0.014285714285714285	0.2465753424657534	0.7808219178082192	0.009179926560587515	0.7619047619047619	3.3926116535693707	1.8978917686749635	0.10547945205479452	0.0776255707762557	0.05639269406392693	0.0027397260273972603	0.06324200913242009	0.0136986301369863	0.022831050228310504
GO_SHARE_004	de	croco	ref	19.466666666666665	0.03995433789954338	0.018493150684931507	0.0	0.5066666666666667	0.0044444444444444444	0.17333333333333334	0.02666666666666667	0.017777777777777778	0.11555555555555555	1.1466666666666667	0.1288888888888889	0.4257990867579909	0.9883412824589295	0.009817351598173516	0.2	0.7699757869249395	0.09927360774818401	0.012106537530266344	0.2397094430992736	0.017777777777777778	0.12	0.13777777777777778	0.22666666666666666	0.12	0.10666666666666667	0.1688888888888889	0.057777777777777775	0.03111111111111111	0.0698051948051948	0.012987012987012988	0.10666666666666667	0.5726872246696035	0.5594713656387665	0.008447488584474886	0.5708812260536399	3.1427753612957194	2.028659688577345	0.11475071673309559	0.27370813229844065	0.07691769806307251	0.01177190406265296	0.047972169778337174	0.0250471994965387	0.06737640724424865
GO_SPEECH_012	de	croco	ref	24.64566929133858	0.06293929712460064	0.005111821086261981	0.0006389776357827476	0.7795275590551181	0.007874015748031496	0.4645669291338583	0.05511811023622047	0.10236220472440945	0.3937007874015748	0.984251968503937	0.16535433070866143	0.38945686900958465	0.9493769470404985	0.017252396166134186	0.4330708661417323	0.7678571428571429	0.08928571428571429	0.011904761904761904	0.09523809523809523	0.023622047244094488	0.15748031496062992	0.3937007874015748	0.4645669291338583	0.13385826771653545	0.1732283464566929	0.1968503937007874	0.1732283464566929	0.11811023622047244	0.03854389721627409	0.0021413276231263384	0.25984251968503935	0.8473282442748091	0.5190839694656488	0.011501597444089457	0.34541062801932365	3.3479537308122365	2.3562116606853976	0.11930789736133247	0.3085244484099446	0.06611139072971134	0.05159119930112296	0.05338315204727418	0.035065570561753766	0.052884075212319484
